iter	Passed	Remaining
748	2686	900
749	2690	896
750	2693	893
751	2697	889
752	2701	886
753	2705	882
754	2708	878
755	2712	875
756	2715	871
757	2719	868
758	2722	864
759	2726	861
760	2730	857
761	2733	853
762	2737	850
763	2740	846
764	2743	842
765	2747	839
766	2750	835
767	2754	831
768	2757	828
769	2761	824
770	2764	821
771	2768	817
772	2772	814
773	2775	810
774	2779	806
775	2782	803
776	2785	799
777	2789	795
778	2792	792
779	2796	788
780	2799	785
781	2803	781
782	2806	777
783	2810	774
784	2814	770
785	2817	767
786	2821	763
787	2825	760
788	2829	756
789	2832	753
790	2836	749
791	2839	745
792	2843	742
793	2847	738
794	2850	735
795	2854	731
796	2857	727
797	2861	724
798	2865	720
799	2868	717
800	2872	713
801	2875	709
802	2879	706
803	2883	702
804	2886	699
805	2889	695
806	2893	692
807	2897	688
808	2901	684
809	2905	681
810	2909	677
811	2912	674
812	2916	670
813	2919	667
814	2923	663
815	2926	659
816	2930	656
817	2933	652
818	2937	649
819	2941	645
820	2945	642
821	2949	638
822	2952	635
823	2956	631
824	2959	627
825	2962	624
826	2966	620
827	2970	616
828	2973	613
829	2977	609
830	2980	606
831	2984	602
832	2987	599
833	2991	595
834	2994	591
835	2998	588
836	3001	584
837	3005	580
838	3008	577
839	3012	573
840	3015	570
841	3019	566
842	3022	562
843	3026	559
844	3029	555
845	3033	552
846	3037	548
847	3041	545
848	3045	541
849	3048	537
850	3051	534
851	3055	530
852	3058	527
853	3061	523
854	3065	519
855	3069	516
856	3072	512
857	3075	509
858	3079	505
859	3082	501
860	3086	498
861	3090	494
862	3094	491
863	3097	487
864	3101	483
865	3104	480
866	3107	476
867	3111	473
868	3114	469
869	3118	465
870	3122	462
871	3125	458
872	3129	455
873	3132	451
874	3135	447
875	3139	444
876	3142	440
877	3146	437
878	3150	433
879	3154	430
880	3158	426
881	3161	422
882	3164	419
883	3168	415
884	3171	412
885	3175	408
886	3178	404
887	3182	401
888	3185	397
889	3188	394
890	3192	390
891	3195	386
892	3199	383
893	3202	379
894	3206	376
895	3209	372
896	3213	369
897	3217	365
898	3221	361
899	3224	358
900	3227	354
901	3231	351
902	3234	347
903	3238	343
904	3241	340
905	3244	336
906	3248	333
907	3252	329
908	3255	325
909	3258	322
910	3262	318
911	3266	315
912	3269	311
913	3273	308
914	3278	304
915	3281	300
916	3285	297
917	3288	293
918	3292	290
919	3295	286
920	3299	283
921	3302	279
922	3306	275
923	3310	272
924	3314	268
925	3317	265
926	3321	261
927	3324	257
928	3327	254
929	3331	250
930	3334	247
931	3338	243
932	3341	239
933	3345	236
934	3348	232
935	3352	229
936	3356	225
937	3360	222
938	3364	218
939	3367	214
940	3371	211
941	3374	207
942	3378	204
943	3381	200
944	3385	197
945	3388	193
946	3392	189
947	3395	186
948	3399	182
949	3403	179
950	3407	175
951	3411	172
952	3415	168
953	3419	164
954	3422	161
955	3426	157
956	3429	154
957	3433	150
958	3436	146
959	3440	143
960	3443	139
961	3447	136
962	3450	132
963	3453	128
964	3457	125
965	3461	121
966	3465	118
967	3469	114
968	3473	111
969	3476	107
970	3480	103
971	3483	100
972	3487	96
973	3490	93
974	3493	89
975	3497	85
976	3500	82
977	3504	78
978	3508	75
979	3511	71
980	3514	68
981	3518	64
982	3521	60
983	3525	57
984	3529	53
985	3533	50
986	3536	46
987	3540	42
988	3543	39
989	3547	35
990	3551	32
991	3554	28
992	3557	25
993	3561	21
994	3565	17
995	3568	14
996	3572	10
997	3575	7
998	3579	3
999	3583	0
